,A2,A3,A4,A5
526,23.45,2.85,3.49,23.66
527,23.45,2.85,3.49,23.66
528,23.45,2.85,3.49,23.66
529,23.45,2.85,3.49,23.66
530,23.43,2.83,3.48,23.7
531,23.43,2.83,3.48,23.7
532,23.43,2.83,3.48,23.7
533,23.43,2.83,3.48,23.7
534,23.43,2.83,3.48,23.65
535,23.43,2.83,3.48,23.65
536,23.43,2.83,3.48,23.65
537,23.43,2.83,3.48,23.65
538,23.43,2.83,3.48,23.65
539,23.43,2.83,3.48,23.65
540,23.43,2.83,3.48,23.65
541,23.45,2.84,3.49,23.68
542,23.45,2.84,3.49,23.68
543,23.45,2.84,3.49,23.68
544,23.45,2.84,3.49,23.68
545,23.45,2.84,3.49,23.68
546,23.45,2.84,3.49,23.68
547,23.45,2.84,3.49,23.68
548,23.45,2.84,3.49,23.68
549,23.47,2.83,3.49,23.64
